"Product Name","Link",
"[Sponsored]Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg1_1?ie=UTF8&adId=A07284451126A8YLN6781&url=https%3A%2F%2Fwww.amazon.in%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dlp_5403404031_1_1_sspa%2F257-4533922-0197844%3Fs%3Dkitchen%26ie%3DUTF8%26qid%3D1592553108%26sr%3D1-1-spons%26psc%3D1&qualifier=1592553107&id=3503086761781675&widgetName=sp_atf_browse"
"[Sponsored]Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg1_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=https%3A%2F%2Fwww.amazon.in%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dlp_5403404031_1_2_sspa%2F257-4533922-0197844%3Fs%3Dkitchen%26ie%3DUTF8%26qid%3D1592553108%26sr%3D1-2-spons%26psc%3D1&qualifier=1592553107&id=3503086761781675&widgetName=sp_atf_browse"
"[Sponsored]Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg1_3?ie=UTF8&adId=A0910547J0ZYC5KQF7EY&url=https%3A%2F%2Fwww.amazon.in%2FSharp-Purifier-FP-F40E-W-Filter-Cluster%2Fdp%2FB01B0DT29A%2Fref%3Dlp_5403404031_1_3_sspa%2F257-4533922-0197844%3Fs%3Dkitchen%26ie%3DUTF8%26qid%3D1592553108%26sr%3D1-3-spons%26psc%3D1&qualifier=1592553107&id=3503086761781675&widgetName=sp_atf_browse"
"Prestige Clean Home Ozonizer POZ 1.0","https://www.amazon.in/Prestige-1-0-Ozonizer-Vegetables-Purifier/dp/B06XXLNG1N/ref=lp_5403404031_1_4/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-4"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","https://www.amazon.in/Sharp-Purifier-FP-F40E-W-Filter-Cluster/dp/B01B0DT29A/ref=lp_5403404031_1_5/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-5"
"Philips AC1215/20 Air purifier, removes 99.97% airborne pollutants with 4-stage filtration","https://www.amazon.in/Philips-AC1215-20-Purifier-White/dp/B01L6MT7E0/ref=lp_5403404031_1_6/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-6"
"Mi Air Purifier 3 with True HEPA Filter and Smart App Connectivity","https://www.amazon.in/Mi-Purifier-Filter-Smart-Connectivity/dp/B0811VCGL5/ref=lp_5403404031_1_7/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-7"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","https://www.amazon.in/Coway-Sleek-Pro-AP-1009-Purifier/dp/B07JZ94F9C/ref=lp_5403404031_1_8/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-8"
""A" PLUS Hygiene Portable Room Air Purifier and Humidifier Revitalizer (24 x 24 x 21 cm, White and Green) with Aroma Oil (15ml)","https://www.amazon.in/Hygiene-Portable-Humidifier-Revitalizer-MI-606A/dp/B01L9C493G/ref=lp_5403404031_1_9/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-9"
"Philips AC2887/20 High Efficiency Air purifier, removes 99.97% airborne pollutants with numerical 2.5 display, ideal for master bedroom","https://www.amazon.in/Philips-AeraSense-AC2887-20-Purifier/dp/B01KCSGBU2/ref=lp_5403404031_1_10/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-10"
"Mi Air Purifier 2C with True HEPA Filter (White)","https://www.amazon.in/Mi-Purifier-True-Filter-White/dp/B07YTZ7NCH/ref=lp_5403404031_1_11/257-4533922-0197844?s=kitchen&ie=UTF8&qid=1592553108&sr=1-11"
