"Name", "Rating", "Description"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","4.3 out of 5 stars","Automatically senses and reports air quality levels (PM 2.5, PM 10, VOC, NO2 & overall AQI) on LCD screen and Dyson Link App in real-time; only purifier to report ALL of these separately.
360 degrees Glass HEPA Filter & Tris Impregnated Activated Carbon Filter capture 99.95% of harmful ultra-fine pollutants & allergens as small as PM 0.1.
Patented Air MultiplierTM technology projects over 360 litres of purified air per second across your whole room
350 degrees oscillation ensures proper circulation throughout the room; personalized angle feature
Suitable for medium to large size rooms with coverage area of upto 600 sq.ft.
Energy efficient; Wattage : 40W (at max. setting), Airflow max settings: 361 l/s
Warranty - 2 years. Parts and Labour. Easy returns.
Certified Asthma & Allergy Friendly by AAFA (Asthma and Allergy Foundation of America)
Diffused mode, 10 speed settings, Auto mode, Night mode, Sleep timer, Wi-Fi & Bluetooth enabled. Easy filter change with notification on app / LCD screen when any of the filters need replacement.
Please contact us on: [ 18002586688 ] to avail Free Installation & Setup services or for any other support
Warranty: 2 year international warranty
Power: 40 watts
Includes: Air Purifier, Remote, Power Supply Adapter
"
"AMERICAN MICRONIC 22 Watts Air Purifier With HEPA Filter","3.9 out of 5 stars","High-Efficiency Particulate Arrest (HEPA) filter removes 99.97% of air borne particles. Pre-filter that removes larger dust particles. Activated carbon filter that removes formaldehyde, oil vapours, odour and other hydrocarbons.
Ionizer removes suspended particles by producing negatively charged ions. User can switch Ionizer ON/Off when not required. Convenience of 1-2-4-8 hour timer with 3 speed Air flow with sleep mode.
Coverage area: Upto 150-200 sq. ft. suitable for bedrooms, children room and office cabin. Clean Air Delivery Rate (CADR): 220 m3/hr; CADR indicates the volume of purified air (in cubic mtrs) which the air purifier produces every hour
Warranty: 1 year on product. Contact us on 8882009988 for free replacement in case of any problem. Wattage: 9/12/22 watts 220-240V 50Hz power supply..
The dimensions of Air Purifier are 29 CM (Height) x 16 CM (Width) x 17 CM (Depth)
"
"Heebo CAR Air Conditioning Cleaner and Purifier, 450 ml Eliminates AC odours, removes allergens, odour-causing contaminants, thick foaming formula effective cleaning, Ready to Use - Pack of 1","3.3 out of 5 stars","A professional Heebo CAR Air Conditioning -Cleaner Eliminates mold, mildew and microorganisms from the evaporator case and removes odors from ductwork the. Requires no tools for application and Leaves a pleasant fragrance to Prevents future odors
Heebo CAR Air Conditioning -Cleaner is applied via the drain tube or through the fins of the blower which leads directly to the evaporator by way of the intake vent. The special cleaning foam is then injected into the system where it removes pollen, dust, nicotine film, and odor causing agents
Designed to clean and deodorize the entire Car AC system, this product includes a foaming cleanser to flush contaminants from the evaporator case, and a refresher to treat the ductwork system. This product chemically neutralizes odors and then leaves behind a pleasant fragrance and a water-insoluble coating on the evaporator
Strong enough to break down road grime and other stubborn debris built up deep within the evaporator core. Clean Air is Non-toxic, bio-degradable, non-corrosive proven safe formulation
Thick foaming formula allows for long work time ensuring effective cleaning. Foam-based and free of caustic cleaners and irritants and one can enough to do a full size vehicle including SUVs and trucks
"
"Breathe Fresh Vayu Natural Activated Charcoal Bacteria Allergen and Odour Remover for Refrigerator, Portables , 100 g","3.7 out of 5 stars","✓ Improves Health - Relief from germs, bacteria, air-borne chemicals and micro-pollutants. :- Works effectively and efficiently against airborne chemicals, allergens, germs, and micro-pollutants, bacteria which can cause allergies, sneezing and other health issues like headache, nausea in the short run and asthma and heart issues with long exposure.
✓ Feel Fresh – Say goodbye to odors. :- Bamboo Charcoal is the most powerful, eco-friendly and natural odor remover. Say goodbye to smells in washroom, cars, shoes, gym bags, Refrigerators, cupboards, pet areas or any place that bothers you for that matter. Bad smells do not stand a chance with Vayu Natural.
✓ Multiple Benefits – Deodorizer, Air Freshener, Dehumidifier, Anti-Bacterial. :-Activated Charcoal nature’s gift to mankind. It is scientifically tested and validated for its versatile use. It absorbs excess moisture, keeps the space dry and fresh naturally, helps prevent mold and mildew known to trigger allergies and asthma.
✓ Ultra Versatile and Portable – For every corner of your Home. :- Vayu Natural 100g is Non-Electric, Portable and can fit to any of your need. It goes inside your refrigerator , sits next to the dustbin or even fits inside your shoes – Think of endless ways you can use the proven power of Activated Charcoal.
✓ Best Quality, Ideal Technology with Money Back Guarantee. :- Vayu Natural comes with the best quality Organic, Pharma-grade Bamboo Charcoal, Activated Carbon Cloth and Luxury Linen Exterior. These are scientifically proven and tested as the best and recommended ingredients for an activated charcoal air purifying bag. Get the best performance from the best air purifying bag that you deserve !
"
"Fridge Freshener - Refrigerator Deodorizer Made from Bamboo Carbon with Natural Zeolite Non-Electric Air Purifier, Deodorizer and Dehumidifier for Fridge","3.0 out of 5 stars","Fridge Freshener Keep your food fresh and tasty to keep your fridge neat and fresh
Keeps Fruits Vegetable and other food fresh for longer time.
Helps keep food fresher longer.
Keep the fragrance inside the fridge
Complete natural products.
"
"Dr. CHARCOAL Non Electric Air Purifier, Deodorizer and Dehumidifier for Cars, Bathrooms and Kitchen (200g, Modish Khaki)","3.7 out of 5 stars","Includes: Non-Electric Air Purifier
Removes bad smell, pollutants, moisture and allergens, prevents moulds and mildew
Lasts for over 1 year, light weight and compact, no electricity/battery required
100% non-toxic, scentless, safe around children and pets too
Significantly affordable than electric air purifiers and conventional air fresheners
Safe alternative to both ionic air purifiers that emit ozone and conventional air fresheners filled with formaldehyde
Capacity: 200g
Use in areas up to 90 sq ft. like car, bathroom, kitchen etc.
"
"Freshwind Non-Electric 100% Activated Charcoal Air Purifier, Deodorizer, Odor Absorber and Dehumidifier for Wardrobe, Fridge, Shoe Rack, Cars and Home - 100g","3.0 out of 5 stars","Reusable bamboo deodourizer bags that work anywhere: the activated charcoal odour remover pack efficiently works round the clock wherever they are. These bamboo charcoal air purifier bags filter and trap nasty smells, excess moisture, air-borne bacteria, and more. See it do wonders as a closet deodourizer, odour absorbers for rooms, car moisture absorber, cigarette smoke eater, car odour absorber, gym bag , boxing shoe deodourizer, refrigerator smell eliminator or pet litter smell remover
Save more than you expect with our activated charcoal bamboo bag: with our charcoal bags natural air purifier, you can now say goodbye to the conventional air odour eliminator sprays and expensive plug-ins. Our charcoal deodourizing bags are packaged in durable eco-friendly material thatll last for up to 2 years
Natural odour eliminators: bamboo charcoal is an eco-friendly natural odour absorber
Activated charcoal odour eliminator for a fresh and healthy home: made from 100% activated bamboo charcoal, our air purifier charcoal bag is the most convenient, most practical and safest solution to keep your home free from any kind of unpleasant smell. Besides being an effective odour remover charcoal packet
"
"Litake Car Air Purifier,Car Air Freshener with Dual USB Charging Ports, Ionic Air Purifier Remove Dust, Cigarette Smoke, Bacteria and Bad Odors, Car Ionizer for Automobile (Black)","3.7 out of 5 stars","【Powerful Odour Eliminator】 Destroys persistent car interior odours and kills bacteria and viruses by generating safe levels of ozone. The most POWERFUL Car Purifier in the market releases 6 million negative ions inside your car providing clean purified air, preventing massive odour and eliminating odour-causing particles from smoke, pet smell, dust, bacteria and more
【Dual USB Charging Ports】 DUAL USB ports support charging two devices simultaneously at a super fast charging speed. Litake car air purifier are provided for charging your mobile phone, tablet and other devices fast and safely against short circuit, surges and other danger
【Enjoy the Futuristic Design】 The Glossy Design couples with crystal shaped blue LED adds a modern and fashionable look to your car interior. A stylish blue LED light indicator can be sure that this silent ionizer is working for you while on travel
【Breathe Easily】 If you sneeze endlessly when you drive because of your pollen allergy, or the smell of the burger you ate in the car tends to linger, then our car air purifiers will have you breathing easy in no time
【World-Wide Accreditation and 12 Months Warranty】 All of our products have FCC, RoHS and CE certifications FCC (Federal Communications Commission), RoHS (Restriction of Hazardous Substances). Make the world a better place with your choice
"
"Breathe Fresh Vayu Natural Activated Charcoal Dehumidifier Allergen and Odour Absorber for Cars Wash Rooms Closets, 250 g","3.7 out of 5 stars","✓ Improves Health - Relief from germs, bacteria, air-borne chemicals and micro-pollutants. :- Works effectively and efficiently against airborne chemicals, allergens, germs, and micro-pollutants, bacteria which can cause allergies, sneezing and other health issues like headache, nausea in the short run and asthma and heart issues with long exposure.
✓ Feel Fresh – Say goodbye to odors. :- Bamboo Charcoal is the most powerful, eco-friendly and natural odor remover. Say goodbye to smells in washroom, cars, shoes, gym bags, Refrigerators, cupboards, pet areas or any place that bothers you for that matter. Bad smells do not stand a chance with Vayu Natural.
✓ Multiple Benefits – Deodorizer, Air Freshener, Dehumidifier, Anti-Bacterial. :-Activated Charcoal nature’s gift to mankind. It is scientifically tested and validated for its versatile use. It absorbs excess moisture, keeps the space dry and fresh naturally, helps prevent mold and mildew known to trigger allergies and asthma.
✓ Ultra Versatile and Portable – For every corner of your Home. :- Vayu Natural 250g is an ultra versatile Non-Electric, Portable and can fit to any of your need. It goes inside your car , can fit in your cupboard or removes your washroom stinks – Think of endless ways you can use the proven power of Activated Charcoal.
✓ Best Quality, Ideal Technology with Money Back Guarantee. :- Vayu Natural comes with the best quality Organic, Pharma-grade Bamboo Charcoal, Activated Carbon Cloth and Luxury Linen Exterior. These are scientifically proven and tested as the best and recommended ingredients for an activated charcoal air purifying bag. Get the best performance from the best air purifying bag that you deserve !
"
"Philips AC2887/20 High Efficiency Air purifier, removes 99.97% airborne pollutants with numerical 2.5 display, ideal for master bedroom","4.0 out of 5 stars","Air Purifier Type - Room; Purification method - High-Efficiency Particulate Arrestant (HEPA) filter type
Coverage area: 441 sq. ft, suitable for bedroom / living room (large), Air quality sensor(s): Aerasense PM2.5 sensor
Clean Air Delivery Rate (CADR): 333 m3/hr; CADR indicates the volume of purified air (in cubic mtrs) which an air purifier produces every hour. The clean air delivery rate (CADR) is 200 m³/h
Sound level : 20.5-51 dB(A); Frequency : 50/60 Hz; Power : 11~60 W; Voltage : 220 V
AeraSense Technology: Real-time PM 2.5 measurement and display with professional grade sensing technology
Dedicated pollution, allergen and bacteria/virus auto modes, 100 percent ozone free, Wattage: 60 watts
Warranty: 2 years on product
Easy Returns: This product is eligible for full refund within 10 days of delivery in case of any product defects, damage or features not matching the description provided
"
