"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg12_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2FDyson-Tower-WiFi-Enabled-Purifier-Silver%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_177_sspa%3Fdchild%3D1%26qid%3D1592567017%26s%3Dkitchen%26sr%3D1-177-spons%26psc%3D1&qualifier=1592567016&id=8939028808751065&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg12_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_178_sspa%3Fdchild%3D1%26qid%3D1592567017%26s%3Dkitchen%26sr%3D1-178-spons%26psc%3D1&qualifier=1592567016&id=8939028808751065&widgetName=sp_atf_browse"
"Safeoxy Natural Activated Carbon Air Purifier, Dehumidifier Allergen and Odour Absorbent for Car/Bedroom/Bathroom(Beige Bag 200 Grams)","/Activated-Purifier-Dehumidifier-Allergen-Absorbent/dp/B0821CVXK3/ref=sr_1_179?dchild=1&qid=1592567017&s=kitchen&sr=1-179"
"Anirdesh Mini Spray Hydrating USB Air Humidifier for House, Office, Beauty Spa, Car as Aromatherapy","/Anirdesh-Hydrating-Humidifier-Office-Aromatherapy/dp/B07ZB4VXHB/ref=sr_1_180?dchild=1&qid=1592567017&s=kitchen&sr=1-180"
"Ozonizer Fruit And Vegetable Cleaner Air Purifier Machine Remover Pesticide Toxin","/Ozonizer-Vegetable-Cleaner-Purifier-Pesticide/dp/B07Q17JLZ8/ref=sr_1_181?dchild=1&qid=1592567017&s=kitchen&sr=1-181"
"TruSens Z-2000 Replacement Carbon Filter + HEPA Filter (Bundle)","/TruSens-Z-2000-Replacement-Carbon-Filter/dp/B07Y58P45Q/ref=sr_1_182?dchild=1&qid=1592567017&s=kitchen&sr=1-182"
"Generic New Imported Fresh Air Purifier for Home Ozone Generator Fridge","/Generic-Fresh-Purifier-Generator-Fridge/dp/B07B2Y5GDK/ref=sr_1_183?dchild=1&qid=1592567017&s=kitchen&sr=1-183"
"Sharp Air Purifier for Homes & Offices Dual Purification ACTIVE Plasmacluster Technology,PASSIVE FILTER(True HEPA+Carbon+Pre-Filter)Captures 99.97% of Impurities Model:FP-F40E-T Brown","/Sharp-FP-F40E-T-31-Watt-Air-Purifier/dp/B071JRSP2S/ref=sr_1_184?dchild=1&qid=1592567017&s=kitchen&sr=1-184"
"Voltas Air Purifier VAP47TWO","/Voltas-VAP47TWO-Air-Purifier/dp/B07RHRWMT3/ref=sr_1_185?dchild=1&qid=1592567017&s=kitchen&sr=1-185"
"Prestige Air Purifier 4.0","/Prestige-Air-Purifier-4-0/dp/B01N9MBLGK/ref=sr_1_186?dchild=1&qid=1592567017&s=kitchen&sr=1-186"
"Coway Sleek Pro AP-1009 Air Purifier (Pre Filter, Patented Urethane Carbon Filter & Green Anti-flu True HEPA Filter) (Coway AP-1009)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg12_1?ie=UTF8&adId=A0103506WOS8F4SW7N0G&url=%2FCoway-Sleek-Pro-AP-1009-Purifier%2Fdp%2FB07JZ94F9C%2Fref%3Dsr_1_187_sspa%3Fdchild%3D1%26qid%3D1592567017%26s%3Dkitchen%26sr%3D1-187-spons%26psc%3D1&qualifier=1592567016&id=8939028808751065&widgetName=sp_mtf_browse"
"Sharp Air Purifier for Homes & Offices | Dual Purification - ACTIVE (Plasmacluster Technology) & PASSIVE FILTERS (True HEPA H14+Carbon+Pre-Filter) | Captures 99.97% of Impurities | Model:FP-F40E-W | White","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg12_2?ie=UTF8&adId=A0910547J0ZYC5KQF7EY&url=%2FSharp-Purifier-FP-F40E-W-Filter-Cluster%2Fdp%2FB01B0DT29A%2Fref%3Dsr_1_188_sspa%3Fdchild%3D1%26qid%3D1592567017%26s%3Dkitchen%26sr%3D1-188-spons%26psc%3D1&qualifier=1592567016&id=8939028808751065&widgetName=sp_mtf_browse"
"RISHIL WORLD Air Purifier Air Ionizer Ioniser Airborne Negative Anion Generator High Output for Car Home","/RISHIL-WORLD-Purifier-Airborne-Generator/dp/B07K57PS6N/ref=sr_1_189?dchild=1&qid=1592567017&s=kitchen&sr=1-189"
"Panasonic F-PXJ30AAD 24-Watt Air Purifier (White/Blue)","/Panasonic-F-PXJ30AAD-24-Watt-Purifier-White/dp/B01MQU2VB3/ref=sr_1_190?dchild=1&qid=1592567017&s=kitchen&sr=1-190"
"NEXTVIEW NVKJ008F-K05A Ionic Car Air Purifier; Air Freshener With Hepa Filter Releasing Anion Advanced Purification Technology Remove PM2.5 Dust; Pollen; Smoke Kills Virus Use For Car and Small Cabin","/NEXTVIEW-NVKJ008F-K05A-Freshener-Purification-Technology/dp/B082NPZYVV/ref=sr_1_191?dchild=1&qid=1592567017&s=kitchen&sr=1-191"
"Kent Aura Portable Room Air Purifier(White)","/Kent-Aura-Portable-Purifier-White/dp/B075DFJ3Z3/ref=sr_1_192?dchild=1&qid=1592567017&s=kitchen&sr=1-192"
"Zerone Ozone Generator,Portable Ozone Generator Battery Powered for Home Fridge Sterilize Vegetable Food Preservation","/Zerone-Generator-Sterilize-Vegetable-Preservation/dp/B07GZCK1JP/ref=sr_1_193?dchild=1&qid=1592567017&s=kitchen&sr=1-193"
"NuvoMed Portable Air Purifier with Hepa Filter and inbuilt Ionizer (White)","/NuvoMed-Portable-Air-Purifier-inbuilt/dp/B07YFX6V6M/ref=sr_1_194?dchild=1&qid=1592567017&s=kitchen&sr=1-194"
"HEPA Filter For Car Air Purifier","/HEPA-Filter-Car-Air-Purifier/dp/B07YD3QHHG/ref=sr_1_195?dchild=1&qid=1592567017&s=kitchen&sr=1-195"
"Honeywell Air Touch-S8 Smart and App Based Room Air Purifier (Royal Silver)","/Honeywell-Air-Touch-S8-Purifier-Silver/dp/B01AJGM4EO/ref=sr_1_196?dchild=1&qid=1592567017&s=kitchen&sr=1-196"
