"Product Name","Link",
"Dyson Pure Cool Link Tower WiFi-Enabled Air Purifier, TP03 (White/Silver)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg2_1?ie=UTF8&adId=A07284451126A8YLN6781&url=%2Fdp%2FB078RBFG6G%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26qid%3D1592554087%26s%3Dkitchen%26sr%3D1-17-spons%26psc%3D1&qualifier=1592554086&id=3555021369130524&widgetName=sp_atf_browse"
"Dyson Pure Cool Air Purifier (Advanced Technology), Wi-fi & Bluetooth Enabled, Tower TP04 (Black/Nickel)","/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_kitchen_sr_pg2_2?ie=UTF8&adId=A078294511GJYOSZ5OKJV&url=%2FDyson-Purifier-Technology-Bluetooth-TP04%2Fdp%2FB07SLL1VK4%2Fref%3Dsr_1_18_sspa%3Fdchild%3D1%26qid%3D1592554087%26s%3Dkitchen%26sr%3D1-18-spons%26psc%3D1&qualifier=1592554086&id=3555021369130524&widgetName=sp_atf_browse"
"AMERICAN MICRONIC 22 Watts Air Purifier With HEPA Filter","/American-Micronic-AMI-AP1-22Dx-22-Watts-Purifier-White/dp/B06XGC8J9W/ref=sr_1_19?dchild=1&qid=1592554087&s=kitchen&sr=1-19"
"Heebo CAR Air Conditioning Cleaner and Purifier, 450 ml Eliminates AC odours, removes allergens, odour-causing contaminants, thick foaming formula effective cleaning, Ready to Use - Pack of 1","/Heebo-Conditioning-Eliminates-odour-causing-contaminants/dp/B0832SLT4H/ref=sr_1_20?dchild=1&qid=1592554087&s=kitchen&sr=1-20"
"Breathe Fresh Vayu Natural Activated Charcoal Bacteria Allergen and Odour Remover for Refrigerator, Portables , 100 g","/BreatheFresh-Activated-Charcoal-Refrigerator-Portables/dp/B06VTNJL9S/ref=sr_1_21?dchild=1&qid=1592554087&s=kitchen&sr=1-21"
"Fridge Freshener - Refrigerator Deodorizer Made from Bamboo Carbon with Natural Zeolite Non-Electric Air Purifier, Deodorizer and Dehumidifier for Fridge","/Fridge-Freshener-Refrigerator-Non-Electric-Dehumidifier/dp/B07KQG91XP/ref=sr_1_22?dchild=1&qid=1592554087&s=kitchen&sr=1-22"
"Dr. CHARCOAL Non Electric Air Purifier, Deodorizer and Dehumidifier for Cars, Bathrooms and Kitchen (200g, Modish Khaki)","/Dr-CHARCOAL-Deodorizer-Dehumidifier-Bathrooms/dp/B074LXJN3R/ref=sr_1_23?dchild=1&qid=1592554087&s=kitchen&sr=1-23"
"Freshwind Non-Electric 100% Activated Charcoal Air Purifier, Deodorizer, Odor Absorber and Dehumidifier for Wardrobe, Fridge, Shoe Rack, Cars and Home - 100g","/Freshwind-Non-Electric-Activated-Deodorizer-Dehumidifier/dp/B07Q3S5PG8/ref=sr_1_24?dchild=1&qid=1592554087&s=kitchen&sr=1-24"
"Litake Car Air Purifier,Car Air Freshener with Dual USB Charging Ports, Ionic Air Purifier Remove Dust, Cigarette Smoke, Bacteria and Bad Odors, Car Ionizer for Automobile (Black)","/Litake-Purifier-Freshener-Cigarette-Automobile/dp/B07X5RG4MS/ref=sr_1_25?dchild=1&qid=1592554087&s=kitchen&sr=1-25"
"Breathe Fresh Vayu Natural Activated Charcoal Dehumidifier Allergen and Odour Absorber for Cars Wash Rooms Closets, 250 g","/BreatheFresh-Activated-Charcoal-Dehumidifier-Washrooms/dp/B06W9HBXSM/ref=sr_1_26?dchild=1&qid=1592554087&s=kitchen&sr=1-26"
"Philips AC2887/20 High Efficiency Air purifier, removes 99.97% airborne pollutants with numerical 2.5 display, ideal for master bedroom","/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_kitchen_sr_pg2_1?ie=UTF8&adId=A0830653G8MW9PCTYWJF&url=%2FPhilips-AeraSense-AC2887-20-Purifier%2Fdp%2FB01KCSGBU2%2Fref%3Dsr_1_27_sspa%3Fdchild%3D1%26qid%3D1592554087%26s%3Dkitchen%26sr%3D1-27-spons%26psc%3D1&qualifier=1592554086&id=3555021369130524&widgetName=sp_mtf_browse"
"Philips AC3256/20, removes 99.97% airborne pollutants with numerical PM2.5 display, ideal for living room","/Philips-AC3256-20-AeraSense-Purifier/dp/B01DDMHHQG/ref=sr_1_36?dchild=1&qid=1592554087&s=kitchen&sr=1-36"
